Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
Aardvark,https://a-z-animals.com/media/animals/images/470x370/aardvark_1.jpg ,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Aardvark,Antbear| Earth Pig,Mammal,18,Sub-Saharan Africa,Sandy and clay soil,Brown| grey| yellow,Hair,1.05m - 2.20m (3.4ft - 7.3ft),60kg - 80kg (130lbs - 180lbs),40kph (25mph),Omnivore,Termites| Ants,Lions| Leopards| Hyenas,Nocturnal,Solitary,23 years,2 years,7 months,1,Cub,3 months,Least Concern,Unknown,Habitat loss,Long| sticky tongue and rabbit-like ears,Can move up to 2ft of soil in just 15 seconds!,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (L),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Abyssinian,https://a-z-animals.com/media/animals/images/470x370/abyssinian2.jpg ,Abyssinian,Egypt,Cat,60cm (2ft),4.5kg (10lbs),15 years,6,Shorthair,Fawn| Red| Blue| Grey,Intelligent and curious,Easy,Silky fur and almond shaped eyes,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (H),Wingspan,Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Incubation Period,Average Clutch Size,Name Of Young,Age Of Fledgling,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,,
Adelie Penguin,https://a-z-animals.com/media/animals/images/470x370/adelie_penguin2.jpg ,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Adelie Penguin,Bird,1,Coastal Antarctica,Antarctic land and ocean,Black with white chest,Feathers,40cm - 75cm (16in - 30in),35cm - 70cm (14in - 27.5in),3kg - 6kg (7lbs - 13lbs),72kph (45mph),Carnivore,Krill| Fish| Squid,Leopard Seal| Skua Gull| Killer Whale,Diurnal,Colony,10 - 20 years,2 - 3 years,2 months,2,Chicks,90 days,Least Concern,5 million,Rapid ice melt,Small white circle around each eye,Eats up to 2kg of food per day! ,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Affenpinscher,https://a-z-animals.com/media/animals/images/470x370/affenpinscher_dog.jpeg ,Affenpinscher,Germany,Dog,25cm (10in),3.6kg (8lbs),12 years,3,Terrier,Black| Grey,Alert and inquisitive,Medium,Dark wiry-haired body and dark eyes,,,,,,,,,,,,,,,,,,,,,,,,
Animal Name ,Image Link ,Common Name,Origin,Group,Average Size (H),Average Weight,Average Lifespan,Average Litter Size,Type,Colour,Temperament,Training,Distinctive Features,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Hound,https://a-z-animals.com/media/animals/images/470x370/afghan_hound1.jpg ,Afghan Hound ,Afghanistan,Dog,68cm (27in),27kg (60lbs),14 years,7,Hound,Black| White| Brown| Gold,Alert yet reserved and lively,Moderately Easy,Long fur and pointed muzzle,,,,,,,,,,,,,,,,,,,,,,,,
